ID da Transacao,Item,Quantidade,Valor Unitario,Total do Pedido,Forma de Pagamento,Local,Data da Transacao
TXN_1961373,PastelDoce,2,12.0,24.0,Credito,Viagem,2023-09-08
TXN_4977031,PastelSalgado,4,13.5,54.0,Dinheiro,NoLocal,2023-05-16
TXN_4271903,Batata,4,10.0,,Credito,NoLocal,2023-07-19
TXN_7034554,DogCompleto,2,15.0,30.0,UNKNOWN,UNKNOWN,2023-04-27
TXN_3160411,PastelDoce,2,12.0,24.0,Pix,NoLocal,2023-06-11
TXN_2602893,Refrigerante,5,8.0,40.0,Credito,,2023-03-31
TXN_4433211,UNKNOWN,3,12.0,36.0,ERROR,Viagem,2023-10-06
TXN_6699534,DogSimples,4,12.0,48.0,Dinheiro,UNKNOWN,2023-10-28
TXN_4717867,,5,3.0,15.0,,Viagem,2023-07-28
TXN_2064365,DogSimples,5,12.0,60.0,,NoLocal,2023-12-31
TXN_2548360,DogCompleto,5,15.0,75.0,Dinheiro,Viagem,2023-11-07
TXN_3051279,DogSimples,2,12.0,24.0,Credito,Viagem,ERROR
TXN_7619095,DogSimples,2,12.0,24.0,Dinheiro,NoLocal,2023-05-03
TXN_9437049,Batata,5,10.0,50.0,,Viagem,2023-06-01
TXN_8915701,ERROR,2,9.0,18.0,,NoLocal,2023-03-21
TXN_2847255,DogCompleto,3,15.0,45.0,Credito,NoLocal,2023-11-15
TXN_3765707,DogSimples,1,12.0,12.0,,,2023-06-10
TXN_6769710,Suco,2,9.0,18.0,Dinheiro,NoLocal,2023-02-24
TXN_8876618,PastelSalgado,5,ERROR,ERROR,Dinheiro,ERROR,2023-03-25
TXN_3709394,Suco,4,9.0,36.0,Dinheiro,Viagem,2023-01-15
TXN_3522028,Refrigerante,ERROR,8.0,40.0,Dinheiro,NoLocal,2023-04-04
TXN_3567645,Refrigerante,4,8.0,32.0,Credito,Viagem,2023-03-30
TXN_5132361,DogSimples,3,12.0,36.0,Pix,Viagem,2023-12-01
TXN_2616390,DogSimples,2,12.0,24.0,,,2023-09-18
TXN_9400181,DogSimples,5,ERROR,UNKNOWN,Dinheiro,NoLocal,2023-06-03
TXN_7958992,Refrigerante,3,8.0,,UNKNOWN,UNKNOWN,2023-12-13
TXN_5183041,Batata,5,10.0,50.0,Credito,NoLocal,2023-04-20
TXN_5695074,Suco,4,9.0,36.0,Credito,Viagem,2023-04-10
TXN_8467949,Refrigerante,5,8.0,40.0,Credito,,2023-03-11
TXN_7640952,PastelSalgado,4,13.5,54.0,Pix,Viagem,ERROR
TXN_1736287,,5,2.0,10.0,Pix,,2023-06-02
TXN_8927252,UNKNOWN,2,6.0,,Credito,ERROR,2023-11-06
TXN_9677376,Refrigerante,4,UNKNOWN,UNKNOWN,,NoLocal,2023-08-15
TXN_7710508,UNKNOWN,5,5.0,25.0,Dinheiro,,ERROR
TXN_8853997,Refrigerante,2,8.0,16.0,Pix,Viagem,2023-10-09
TXN_9130559,DogSimples,1,12.0,12.0,Credito,UNKNOWN,2023-05-28
TXN_6855453,UNKNOWN,4,15.0,60.0,,NoLocal,2023-07-17
TXN_1080432,DogCompleto,2,15.0,30.0,Credito,NoLocal,2023-04-29
TXN_2655815,Refrigerante,4,8.0,32.0,,Viagem,2023-06-08
TXN_6688524,PastelDoce,4,12.0,48.0,ERROR,,2023-06-29
TXN_2083138,Refrigerante,3,8.0,24.0,,NoLocal,2023-04-17
TXN_2427584,DogSimples,4,12.0,48.0,,Viagem,2023-12-22
TXN_6650263,Hamburguer,2,1.5,,,Viagem,2023-01-10
TXN_9620080,Suco,4,9.0,36.0,,Viagem,2023-10-02
TXN_1491578,Batata,2,10.0,20.0,,,2023-02-23
TXN_5455792,DogCompleto,3,15.0,45.0,Dinheiro,,2023-03-22
TXN_8078640,Suco,4,9.0,36.0,Pix,NoLocal,2023-11-03
TXN_9499313,Suco,5,9.0,45.0,,,2023-03-02
TXN_8201146,Suco,5,9.0,45.0,Dinheiro,,2023-06-26
TXN_8230936,PastelSalgado,3,13.5,40.5,,ERROR,2023-05-02
TXN_7742742,PastelSalgado,5,13.5,67.5,,Viagem,2023-09-05
TXN_6342161,DogCompleto,5,15.0,75.0,ERROR,Viagem,2023-01-08
TXN_8914892,UNKNOWN,5,25.0,125.0,Pix,,2023-03-15
TXN_3363746,Refrigerante,3,8.0,24.0,Credito,,2023-11-25
TXN_8614868,Refrigerante,5,8.0,40.0,Pix,Viagem,2023-12-05
TXN_5522862,Batata,ERROR,10.0,20.0,Credito,Viagem,2023-03-19
TXN_3578141,PastelSalgado,5,,67.5,,Viagem,2023-06-27
TXN_2080895,PastelSalgado,UNKNOWN,13.5,13.5,Pix,NoLocal,2023-04-19
TXN_6421134,DogSimples,4,12.0,48.0,Dinheiro,Viagem,2023-11-03
TXN_8813311,Suco,5,9.0,45.0,,NoLocal,2023-10-07
TXN_9023317,DogCompleto,1,15.0,15.0,,,2023-09-30
TXN_8051289,,1,3.0,3.0,,NoLocal,2023-10-09
TXN_2537617,DogSimples,1,12.0,12.0,Dinheiro,,2023-05-27
TXN_9099694,UNKNOWN,3,25.0,75.0,,Viagem,2023-11-18
TXN_9230615,Refrigerante,4,8.0,32.0,Pix,,2023-06-01
TXN_4987129,DogSimples,3,,,,NoLocal,2023-10-20
TXN_8501819,Suco,,9.0,18.0,Dinheiro,,2023-03-30
TXN_3068204,Batata,1,10.0,10.0,Credito,Viagem,2023-10-03
TXN_8427104,DogCompleto,2,,30.0,,NoLocal,2023-10-27
TXN_8471743,ERROR,5,18.0,90.0,Pix,NoLocal,2023-04-06
TXN_2621580,Hamburguer,2,1.5,3.0,Dinheiro,NoLocal,2023-03-22
